map_index	target_field	lex	catib_pos	mada_pos	parent_lex	parent_catib_pos	parent_mada_pos	rel	order	target_value_long	target_value_short
1	REL	*	*	*	*	NOM	*	SBJ	C-P	مبتدأ خبر	مبتدأ
1	REL	*	*	*	*	PROP	*	SBJ	C-P	مبتدأ خبر	مبتدأ
2	REL	*	*	*	kAn	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	>aSobaH	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	>aDoHaY	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	>amosaY	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	Zal~-a	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	bAt	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	SAr	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	layosa	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	zAl	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
2	REL	*	*	*	dAm	VRB	verb	SBJ	C-P	مبتدأ	مبتدأ
3	REL	*	*	*	*	VRB	verb	SBJ	C-P	مبتدأ فاعل	مبتدأ
4	REL	*	*	*	*	VRB-PASS	verb	SBJ	C-P	مبتدأ نائب فاعل	مبتدأ
5	REL	*	*	*	>an~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ
5	REL	*	*	*	<in~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ
5	REL	*	*	*	EasaY	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ
5	REL	*	*	*	Eal~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ
5	REL	*	*	*	ka>an~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ
5	REL	*	*	*	laA	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ
5	REL	*	*	*	laEal~a	PRT	conj_sub	SBJ	C-P	مبتدأ	مبتدأ
