index	target_field	lex	catib_pos	mada_pos	parent_lex	parent_catib_pos	parent_mada_pos	rel	order	target_value_long	target_value_short	exact_matches
1	REL	*	*	*	*	*	*	TPC	C-P	مبتدأ أول	مبتدأ	2
2	REL	*	*	*	*	*	*	TPC	P-C	مبتدأ أول مؤخر	مبتدأ	2
1	REL	*	*	*	*	NOM	*	SBJ	C-P	مبتدأ خبر	مبتدأ	3
2	REL	*	*	*	*	PROP	*	SBJ	C-P	مبتدأ خبر	مبتدأ	3
3	REL	*	*	*	kAn	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
4	REL	*	*	*	>aSobaH	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
5	REL	*	*	*	>aDoHaY	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
6	REL	*	*	*	>amosaY	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
7	REL	*	*	*	Zal~-a	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
8	REL	*	*	*	bAt	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
9	REL	*	*	*	SAr	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
10	REL	*	*	*	layosa	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
11	REL	*	*	*	zAl	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
12	REL	*	*	*	dAm	VRB	*	SBJ	C-P	مبتدأ	مبتدأ	4
13	REL	*	*	*	*	VRB	*	SBJ	C-P	مبتدأ فاعل	مبتدأ	3
14	REL	*	*	*	*	VRB-PASS	*	SBJ	C-P	مبتدأ نائب فاعل	مبتدأ	3
15	REL	*	*	*	>an~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
16	REL	*	*	*	<in~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
17	REL	*	*	*	EasaY	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
18	REL	*	*	*	Eal~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
19	REL	*	*	*	ka>an~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
20	REL	*	*	*	laA	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
21	REL	*	*	*	laEal~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
22	REL	*	*	*	layota	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
23	REL	*	*	*	la`kin~a	PRT	*	SBJ	C-P	مبتدأ	مبتدأ	4
24	REL	*	*	*	>an~a	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
25	REL	*	*	*	<in~a	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
26	REL	*	*	*	EasaY	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
27	REL	*	*	*	Eal~a	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
28	REL	*	*	*	ka>an~a	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
29	REL	*	*	*	laA	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
30	REL	*	*	*	laEal~a	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
31	REL	*	*	*	layota	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
32	REL	*	*	*	la`kin~a	PRT	verb_pseudo	SBJ	C-P	مبتدأ	مبتدأ	5
33	REL	*	*	*	*	PRT	*	SBJ	C-P	مبتدأ خبر	مبتدأ	3
34	REL	*	*	*	*	NOM	*	SBJ	P-C	مبتدأ مؤخر	مبتدأ	3
35	REL	*	*	*	*	PROP	*	SBJ	P-C	مبتدأ مؤخر	مبتدأ	3
36	REL	*	*	*	kAn	VRB	*	SBJ	P-C	اسم كان	اسم	4
37	REL	*	*	*	>aSobaH	VRB	*	SBJ	P-C	اسم كان	اسم	4
38	REL	*	*	*	>aDoHaY	VRB	*	SBJ	P-C	اسم كان	اسم	4
39	REL	*	*	*	>amosaY	VRB	*	SBJ	P-C	اسم كان	اسم	4
40	REL	*	*	*	Zal~-a	VRB	*	SBJ	P-C	اسم كان	اسم	4
41	REL	*	*	*	bAt	VRB	*	SBJ	P-C	اسم كان	اسم	4
42	REL	*	*	*	SAr	VRB	*	SBJ	P-C	اسم كان	اسم	4
43	REL	*	*	*	layosa	VRB	*	SBJ	P-C	اسم كان	اسم	4
44	REL	*	*	*	zAl	VRB	*	SBJ	P-C	اسم كان	اسم	4
45	REL	*	*	*	dAm	VRB	*	SBJ	P-C	اسم كان	اسم	4
46	REL	*	*	*	*	VRB	*	SBJ	P-C	فاعل	فاعل	3
47	REL	*	*	*	*	VRB-PASS	*	SBJ	P-C	نائب فاعل	نائب فاعل	3
48	REL	*	*	*	>an~a	PRT	*	SBJ	P-C	اسم إن	اسم	4
49	REL	*	*	*	<in~a	PRT	*	SBJ	P-C	اسم إن	اسم	4
50	REL	*	*	*	EasaY	PRT	*	SBJ	P-C	اسم إن	اسم	4
51	REL	*	*	*	Eal~a	PRT	*	SBJ	P-C	اسم إن	اسم	4
52	REL	*	*	*	ka>an~a	PRT	*	SBJ	P-C	اسم إن	اسم	4
53	REL	*	*	*	laA	PRT	*	SBJ	P-C	اسم إن	اسم	4
54	REL	*	*	*	laEal~a	PRT	*	SBJ	P-C	اسم إن	اسم	4
55	REL	*	*	*	layota	PRT	*	SBJ	P-C	اسم إن	اسم	4
56	REL	*	*	*	la`kin~a	PRT	*	SBJ	P-C	اسم إن	اسم	4
